"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 16 17:46:39 GMT 2025","Sun Mar 16 17:46:39 GMT 2025","29","","com.example.catalog.JSONAPITests.ArtistControllerTest","","com.example.catalog.JSONAPITests.ArtistControllerTest","testGetPopularSongsByArtist","testGetPopularSongsByArtist()",""
"passed","Sun Mar 16 17:46:39 GMT 2025","Sun Mar 16 17:46:39 GMT 2025","29","","com.example.catalog.JSONAPITests.SongControllerTest","","com.example.catalog.JSONAPITests.SongControllerTest","createSong","createSong()",""
"passed","Sun Mar 16 17:46:35 GMT 2025","Sun Mar 16 17:46:35 GMT 2025","2","","when instantiated with capacity 3","","com.example.catalog.LRUCacheTest$WhenInstantiated","isEmpty","cache is initially empty",""
"passed","Sun Mar 16 17:46:40 GMT 2025","Sun Mar 16 17:46:40 GMT 2025","11","","com.example.catalog.SpotifyAPITests.ArtistControllerTest","","com.example.catalog.SpotifyAPITests.ArtistControllerTest","testGetPopularSongsByArtist","testGetPopularSongsByArtist()",""
"passed","Sun Mar 16 17:46:39 GMT 2025","Sun Mar 16 17:46:39 GMT 2025","17","","com.example.catalog.JSONAPITests.ArtistControllerTest","","com.example.catalog.JSONAPITests.ArtistControllerTest","testCreateArtist","testCreateArtist()",""
"passed","Sun Mar 16 17:46:35 GMT 2025","Sun Mar 16 17:46:35 GMT 2025","21","","when instantiated with capacity 3","","com.example.catalog.LRUCacheTest$WhenInstantiated","throwsExceptionWhenGettingNullKey","throws NullPointerException when getting a null key",""
"passed","Sun Mar 16 17:46:40 GMT 2025","Sun Mar 16 17:46:40 GMT 2025","5","","com.example.catalog.SpotifyAPITests.ArtistControllerTest","","com.example.catalog.SpotifyAPITests.ArtistControllerTest","testGetAlbumsByArtist","testGetAlbumsByArtist()",""
"passed","Sun Mar 16 17:46:37 GMT 2025","Sun Mar 16 17:46:38 GMT 2025","653","","com.example.catalog.HelloControllerTest","","com.example.catalog.HelloControllerTest","testHome","testHome()",""
"passed","Sun Mar 16 17:46:40 GMT 2025","Sun Mar 16 17:46:40 GMT 2025","3","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testGetSpotifyClient","testGetSpotifyClient()",""
"passed","Sun Mar 16 17:46:39 GMT 2025","Sun Mar 16 17:46:39 GMT 2025","16","","com.example.catalog.JSONAPITests.SongControllerTest","","com.example.catalog.JSONAPITests.SongControllerTest","getSongById_Invalid","getSongById_Invalid()",""
"passed","Sun Mar 16 17:46:39 GMT 2025","Sun Mar 16 17:46:39 GMT 2025","31","","com.example.catalog.JSONAPITests.ArtistControllerTest","","com.example.catalog.JSONAPITests.ArtistControllerTest","testGetAlbumsByArtist","testGetAlbumsByArtist()",""
"passed","Sun Mar 16 17:46:39 GMT 2025","Sun Mar 16 17:46:39 GMT 2025","22","","com.example.catalog.JSONAPITests.AlbumControllerTest","","com.example.catalog.JSONAPITests.AlbumControllerTest","testCreateAlbum","testCreateAlbum()",""
